"EDR092812","Vicimus"
"EDR072274","C(aius) Vettius Firmus"
"EDR072282","Roma"
"EDR072296","Aedilem Proculam (:Proculum) [[CR]] cunctorum turba probavit. Hoc pudor ingenuus postulat et pietas"
"EDR072421","L(ucius) Sulla Cornelius"
"EDR072531","Successus Axclepiades(!) //<BR>Victor<BR>Co(n)ssta(n)s(!)"
"EDR071661","Barbara barbaribus barbarant barbara barbis"
"EDR071662","Nerone Caesare Augusto<br>Cosso Lentulo Cossi fil(io) co(n)s(ulibus)<br>VIII Idus Febr(u)arias<br>dies Solis luna XIIIIX nun(dinae) Cumis V (Idus Februarias) nun(dinae) Pompeis"
"EDR071722","Soci(i)s vicesumari(i)s<BR>novis et veteribus"
"EDR071775","Quae parvis mater natis alimenta parabat<BR>Fortuna in patrios vertit iniqua cibos<BR>[haustus pulc(h)rum opus] est tenui cervice seniles<BR>ast liquidus venae lacte [repente tumor]<BR>[languentemque] simul voltu(!) fricat ipsa Miconem<BR>pero tristis inest cum pietate pudor"
"EDR071808","M(arcus) Lucretius Fronto vir fortis<br>&#12314;et hon&#803;[estus?]&#12315;"
"EDR071826","Ab Clodio Clemente de<br>superiore sine defrito(!)"
"EDR071861","[Pr]iscus duor(um)<BR>[D]omitiorum"
"EDR071917","[Pomp]eianis(?) have feliciter"
"EDR071918","Haec fuerat quaesita dies innoxia famae<br>i[-]dicio sem<br>&#12296;:vacat&#12297;<br>&#12296;:vacat&#12297; pauca"
"EDR072111","M(arci) Terenti Artritaci<BR>in nave Cn(aei) Senti (H)omeri<BR>Ti(beri) Claudi Orp(h)ei vect(a)"
"EDR072254","IX K(alendas) Iunias Inperator(is)(!)<BR>dies fuit Solis"
"EDR072555","Priscus caelator<BR>Campano<BR>gemmario<BR>fel(iciter)"
"EDR072556","Pompeianis<BR>fel(icibus?) feliciter<BR>Faustinum viginti<BR>rogamus"
"EDR072568","L(ucius) Calventi(us)<BR>at(!) Quintium<BR>colet et (h)abet<BR>violarium<BR>[v]ide locum"
"EDR072591","G(ari) f(los) scombr(i)<BR>Scauri<BR>ex officina Scauri<BR>ab Martiale Aug(usti) l(iberto)"
"EDR072592","G(ari) f(los) scombr(i)<BR>a  Trebio Sunhodo"
"EDR072593","G(ari) f(los)<BR>ab M(arco) Arruntio Anterote"
"EDR072601","Sul(l)a [---] Felix"
"EDR072651","Prid(ie) Nonis<BR>Iulis tunica<BR>HS XV"
"EDR072663","Fullones ul&#803;ulamque cano non arma virumq(ue)"
"EDR072673","Lares sanctos<BR>rogo t[e] ut [---]"
"EDR072680","Oceanus l(ibertus) XVIII v(icit) //<BR>Arancitus l(ibertus) [---]IIII"
"EDR072681","stiario(?)"
"EDR072682","Severus l(ibertus) XIII<BR>Albanus Sc(---) l(ibertus) XIX v(icit)"
"EDR072719","Cn(aei) Allei Nigidi<BR>Mai quinq(uennalis) sine impensa publica glad(iatorum) par(ia) XX et eorum supp(ositicii) pugn(abunt) Pompeis //<BR>Gavellius Tigillo<BR>et Clodio sal(utem)<BR>Telephe summa rudis<BR>instrumentum muneris<BR>u(b)i(que) va(le)<BR>Diadumeno et Pyladioni"
"EDR072730","Poly(---) //<BR>D(ecimi) Lucreti Satri //<BR>Valentis flaminis [[Neronis]] Caesaris Aug(usti) f(ilii) perpetui glad(iatorum) par(ia) XX et D(ecimi) Lucreti Valentis fili(i)<BR>glad(iatorum) par(ia) X pugna Pompeis ex a(nte) d(ie) Nonis(!) Apr(iles) venatio et vela erunt"
